,movie_name,director_stars,release_year,rating
172,Million Dollar Baby,"Clint Eastwood (dir.), Hilary Swank, Clint Eastwood",(2004),8.1
173,Catch Me If You Can,"Steven Spielberg (dir.), Leonardo DiCaprio, Tom Hanks",(2002),8.1
174,Goldrausch,"Charles Chaplin (dir.), Charles Chaplin, Mack Swain",(1925),8.1
175,Kinder des Himmels,"Majid Majidi (dir.), Mohammad Amir Naji, Amir Farrokh Hashemian",(1997),8.1
176,Der Blade Runner,"Ridley Scott (dir.), Harrison Ford, Rutger Hauer",(1982),8.1
177,Die Faust im Nacken,"Elia Kazan (dir.), Marlon Brando, Karl Malden",(1954),8.1
178,12 Years a Slave,"Steve McQueen (dir.), Chiwetel Ejiofor, Michael Kenneth Williams",(2013),8.1
179,Before Sunrise - Zwischenstopp in Wien,"Richard Linklater (dir.), Ethan Hawke, Julie Delpy",(1995),8.1
180,Der dritte Mann,"Carol Reed (dir.), Orson Welles, Joseph Cotten",(1949),8.1
181,Wilde Erdbeeren,"Ingmar Bergman (dir.), Victor Sjöström, Bibi Andersson",(1957),8.1
182,Harry Potter und die Heiligtümer des Todes - Teil 2,"David Yates (dir.), Daniel Radcliffe, Emma Watson",(2011),8.1
183,Ben Hur,"William Wyler (dir.), Charlton Heston, Jack Hawkins",(1959),8.1
184,Gone Girl - Das perfekte Opfer,"David Fincher (dir.), Ben Affleck, Rosamund Pike",(2014),8.1
185,Der General,"Clyde Bruckman (dir.), Buster Keaton, Marion Mack",(1926),8.1
186,Die durch die Hölle gehen,"Michael Cimino (dir.), Robert De Niro, Christopher Walken",(1978),8.1
187,Grand Budapest Hotel,"Wes Anderson (dir.), Ralph Fiennes, F. Murray Abraham",(2014),8.1
188,Im Namen des Vaters,"Jim Sheridan (dir.), Daniel Day-Lewis, Pete Postlethwaite",(1993),8.1
189,Barry Lyndon,"Stanley Kubrick (dir.), Ryan O'Neal, Marisa Berenson",(1975),8.1
190,Lohn der Angst,"Henri-Georges Clouzot (dir.), Yves Montand, Charles Vanel",(1953),8.1
191,Sherlock Holmes Jr.,"Buster Keaton (dir.), Buster Keaton, Kathryn McGuire",(1924),8.1
192,Mr. Smith geht nach Washington,"Frank Capra (dir.), James Stewart, Jean Arthur",(1939),8.1
193,Memories of Murder,"Bong Joon Ho (dir.), Song Kang-ho, Kim Sang-kyung",(2003),8.1
194,Hacksaw Ridge - Die Entscheidung,"Mel Gibson (dir.), Andrew Garfield, Sam Worthington",(2016),8.1
195,Klaus,"Sergio Pablos (dir.), Jason Schwartzman, J.K. Simmons",(2019),8.1
196,Wild Tales: Jeder dreht mal durch!,"Damián Szifron (dir.), Darío Grandinetti, María Marull",(2014),8.1
197,Das siebente Siegel,"Ingmar Bergman (dir.), Max von Sydow, Gunnar Björnstrand",(1957),8.1
198,Raum,"Lenny Abrahamson (dir.), Brie Larson, Jacob Tremblay",(2015),8.1
199,Mad Max: Fury Road,"George Miller (dir.), Tom Hardy, Charlize Theron",(2015),8.1
200,"Mary & Max, oder - Schrumpfen Schafe, wenn es regnet","Adam Elliot (dir.), Toni Collette, Philip Seymour Hoffman",(2009),8.1
201,Drachenzähmen leicht gemacht,"Dean DeBlois (dir.), Jay Baruchel, Gerard Butler",(2010),8.1
202,The Big Lebowski,"Joel Coen (dir.), Jeff Bridges, John Goodman",(1998),8.1
203,Die Monster AG,"Pete Docter (dir.), Billy Crystal, John Goodman",(2001),8.1
204,Der weiße Hai,"Steven Spielberg (dir.), Roy Scheider, Robert Shaw",(1975),8.1
205,Die Reise nach Tokio,"Yasujirô Ozu (dir.), Chishû Ryû, Chieko Higashiyama",(1953),8.1
206,Die Passion der Jeanne d'Arc,"Carl Theodor Dreyer (dir.), Maria Falconetti, Eugene Silvain",(1928),8.1
207,Der Club der toten Dichter,"Peter Weir (dir.), Robin Williams, Robert Sean Leonard",(1989),8.1
208,Hotel Ruanda,"Terry George (dir.), Don Cheadle, Sophie Okonedo",(2004),8.1
209,Le Mans 66 - Gegen jede Chance,"James Mangold (dir.), Matt Damon, Christian Bale",(2019),8.0
210,Rocky,"John G. Avildsen (dir.), Sylvester Stallone, Talia Shire",(1976),8.0
211,Platoon,"Oliver Stone (dir.), Charlie Sheen, Tom Berenger",(1986),8.0
212,Apus Weg ins Leben - 1.: Auf der Straße,"Satyajit Ray (dir.), Kanu Bannerjee, Karuna Bannerjee",(1955),8.0
213,Everything Everywhere All at Once,"Dan Kwan (dir.), Michelle Yeoh, Stephanie Hsu",(2022),8.0
214,Stand by Me: Das Geheimnis eines Sommers,"Rob Reiner (dir.), Wil Wheaton, River Phoenix",(1986),8.0
215,Terminator,"James Cameron (dir.), Arnold Schwarzenegger, Linda Hamilton",(1984),8.0
216,Spotlight,"Tom McCarthy (dir.), Mark Ruffalo, Michael Keaton",(2015),8.0
217,Rush: Alles für den Sieg,"Ron Howard (dir.), Daniel Brühl, Chris Hemsworth",(2013),8.0
218,Logan: The Wolverine,"James Mangold (dir.), Hugh Jackman, Patrick Stewart",(2017),8.0
219,Ratatouille,"Brad Bird (dir.), Brad Garrett, Lou Romano",(2007),8.0
220,Network,"Sidney Lumet (dir.), Faye Dunaway, William Holden",(1976),8.0
221,Into the Wild,"Sean Penn (dir.), Emile Hirsch, Vince Vaughn",(2007),8.0
222,Der Zauberer von Oz,"Victor Fleming (dir.), Judy Garland, Frank Morgan",(1939),8.0
223,Before Sunset,"Richard Linklater (dir.), Ethan Hawke, Julie Delpy",(2004),8.0
224,Und täglich grüßt das Murmeltier,"Harold Ramis (dir.), Bill Murray, Andie MacDowell",(1993),8.0
225,Der Exorzist,"William Friedkin (dir.), Ellen Burstyn, Max von Sydow",(1973),8.0
226,Die besten Jahre unseres Lebens,"William Wyler (dir.), Myrna Loy, Dana Andrews",(1946),8.0
227,Sein oder Nichtsein,"Ernst Lubitsch (dir.), Carole Lombard, Jack Benny",(1942),8.0
228,Jai Bhim,"T.J. Gnanavel (dir.), Suriya, Lijo Mol Jose",(2021),8.0
229,Die Unglaublichen,"Brad Bird (dir.), Craig T. Nelson, Samuel L. Jackson",(2004),8.0
230,Schlacht um Algier,"Gillo Pontecorvo (dir.), Brahim Hadjadj, Jean Martin",(1966),8.0
231,Hachiko - Eine wunderbare Freundschaft,"Lasse Hallström (dir.), Richard Gere, Joan Allen",(2009),8.0
232,Früchte des Zorns,"John Ford (dir.), Henry Fonda, Jane Darwell",(1940),8.0
233,Rebecca,"Alfred Hitchcock (dir.), Laurence Olivier, Joan Fontaine",(1940),8.0
234,Amores perros,"Alejandro G. Iñárritu (dir.), Emilio Echevarría, Gael García Bernal",(2000),8.0
235,Mein Vater und mein Sohn,"Cagan Irmak (dir.), Çetin Tekindor, Fikret Kuskan",(2005),8.0
236,Fluch der Karibik,"Gore Verbinski (dir.), Johnny Depp, Geoffrey Rush",(2003),8.0
237,Hass,"Mathieu Kassovitz (dir.), Vincent Cassel, Hubert Koundé",(1995),8.0
238,Der Unbeugsame,"Stuart Rosenberg (dir.), Paul Newman, George Kennedy",(1967),8.0
239,Sie küßten und sie schlugen ihn,"François Truffaut (dir.), Jean-Pierre Léaud, Albert Rémy",(1959),8.0
240,Persona,"Ingmar Bergman (dir.), Bibi Andersson, Liv Ullmann",(1966),8.0
241,Es geschah in einer Nacht,"Frank Capra (dir.), Clark Gable, Claudette Colbert",(1934),8.0
242,Die Taschendiebin,"Park Chan-wook (dir.), Kim Min-hee, Ha Jung-woo",(2016),8.0
243,Das Leben des Brian,"Terry Jones (dir.), Graham Chapman, John Cleese",(1979),8.0
244,"Meine Lieder, meine Träume","Robert Wise (dir.), Julie Andrews, Christopher Plummer",(1965),8.0
245,"Uzala, der Kirgise","Akira Kurosawa (dir.), Maksim Munzuk, Yuriy Solomin",(1975),8.0
246,Gandhi,"Richard Attenborough (dir.), Ben Kingsley, John Gielgud",(1982),8.0
247,The Help,"Tate Taylor (dir.), Viola Davis, Emma Stone",(2011),8.0
248,Aladdin,"Ron Clements (dir.), Scott Weinger, Robin Williams",(1992),8.0
249,Der Gigant aus dem All,"Brad Bird (dir.), Eli Marienthal, Harry Connick Jr.",(1999),8.0
