,movie_name,director_stars,release_year
92,Capernaum: Stadt der Hoffnung,"Nadine Labaki  ,  Zain Al Rafeea,  Yordanos Shiferaw",2018
93,Die Jagd,"Thomas Vinterberg  ,  Mads Mikkelsen,  Thomas Bo Larsen",2012
94,Citizen Kane,"Orson Welles  ,  Orson Welles,  Joseph Cotten",1941
95,Lawrence von Arabien,"David Lean  ,  Peter O'Toole,  Alec Guinness",1962
96,M: Eine Stadt sucht einen Mörder,"Fritz Lang  ,  Peter Lorre,  Ellen Widmann",1931
97,Komm und sieh',"Elem Klimov  ,  Aleksey Kravchenko,  Olga Mironova",1985
98,Der unsichtbare Dritte,"Alfred Hitchcock  ,  Cary Grant,  Eva Marie Saint",1959
99,Aus dem Reich der Toten,"Alfred Hitchcock  ,  James Stewart,  Kim Novak",1958
100,Die fabelhafte Welt der Amelie,"Jean-Pierre Jeunet  ,  Audrey Tautou,  Mathieu Kassovitz",2001
101,Uhrwerk Orange,"Stanley Kubrick  ,  Malcolm McDowell,  Patrick Magee",1971
102,Das Appartement,"Billy Wilder  ,  Jack Lemmon,  Shirley MacLaine",1960
103,Frau ohne Gewissen,"Billy Wilder  ,  Fred MacMurray,  Barbara Stanwyck",1944
104,Full Metal Jacket,"Stanley Kubrick  ,  Matthew Modine,  R. Lee Ermey",1987
105,Ikiru - Einmal wirklich leben,"Akira Kurosawa  ,  Takashi Shimura,  Nobuo Kaneko",1952
106,Scarface,"Brian De Palma  ,  Al Pacino,  Michelle Pfeiffer",1983
107,Hamilton,"Thomas Kail  ,  Lin-Manuel Miranda,  Phillipa Soo",2020
108,Der Clou,"George Roy Hill  ,  Paul Newman,  Robert Redford",1973
109,Wer die Nachtigall stört,"Robert Mulligan  ,  Gregory Peck,  John Megna",1962
110,Heat,"Michael Mann  ,  Al Pacino,  Robert De Niro",1995
111,Oben,"Pete Docter  ,  Edward Asner,  Jordan Nagai",2009
112,Taxi Driver,"Martin Scorsese  ,  Robert De Niro,  Jodie Foster",1976
113,Die Frau die singt - Incendies,"Denis Villeneuve  ,  Lubna Azabal,  Mélissa Désormeaux-Poulin",2010
114,Metropolis,"Fritz Lang  ,  Brigitte Helm,  Alfred Abel",1927
115,Nader und Simin - eine Trennung,"Asghar Farhadi  ,  Payman Maadi,  Leila Hatami",2011
116,L.A. Confidential,"Curtis Hanson  ,  Kevin Spacey,  Russell Crowe",1997
117,Snatch: Schweine und Diamanten,"Guy Ritchie  ,  Jason Statham,  Brad Pitt",2000
118,Fahrraddiebe,"Vittorio De Sica  ,  Lamberto Maggiorani,  Enzo Staiola",1948
119,Stirb langsam,"John McTiernan  ,  Bruce Willis,  Alan Rickman",1988
120,Indiana Jones und der letzte Kreuzzug,"Steven Spielberg  ,  Harrison Ford,  Sean Connery",1989
121,Taare Zameen Par: Ein Stern auf Erden,"Aamir Khan  ,  Darsheel Safary,  Aamir Khan",2007
122,1917,"Sam Mendes  ,  Dean-Charles Chapman,  George MacKay",2019
123,Der Untergang,"Oliver Hirschbiegel  ,  Bruno Ganz,  Alexandra Maria Lara",2004
124,Für ein paar Dollar mehr,"Sergio Leone  ,  Clint Eastwood,  Lee Van Cleef",1965
125,Batman Begins,"Christopher Nolan  ,  Christian Bale,  Michael Caine",2005
126,Dangal: Die Hoffnung auf den großen Sieg,"Nitesh Tiwari  ,  Aamir Khan,  Sakshi Tanwar",2016
127,Der Vagabund und das Kind,"Charles Chaplin  ,  Charles Chaplin,  Edna Purviance",1921
128,Manche mögen's heiß,"Billy Wilder  ,  Marilyn Monroe,  Tony Curtis",1959
129,Alles über Eva,"Joseph L. Mankiewicz  ,  Bette Davis,  Anne Baxter",1950
130,The Father,"Florian Zeller  ,  Anthony Hopkins,  Olivia Colman",2020
131,Green Book,"Peter Farrelly  ,  Viggo Mortensen,  Mahershala Ali",2018
132,The Wolf of Wall Street,"Martin Scorsese  ,  Leonardo DiCaprio,  Jonah Hill",2013
133,Das Urteil von Nürnberg,"Stanley Kramer  ,  Spencer Tracy,  Burt Lancaster",1961
134,Ran,"Akira Kurosawa  ,  Tatsuya Nakadai,  Akira Terao",1985
135,Casino,"Martin Scorsese  ,  Robert De Niro,  Sharon Stone",1995
136,Pans Labyrinth,"Guillermo del Toro  ,  Ivana Baquero,  Ariadna Gil",2006
137,Erbarmungslos,"Clint Eastwood  ,  Clint Eastwood,  Gene Hackman",1992
138,There Will Be Blood,"Paul Thomas Anderson  ,  Daniel Day-Lewis,  Paul Dano",2007
139,Spider-Man: No Way Home,"Jon Watts  ,  Tom Holland,  Zendaya",2021
140,Die Truman Show,"Peter Weir  ,  Jim Carrey,  Ed Harris",1998
141,The Sixth Sense - Nicht jede Gabe ist ein Segen,"M. Night Shyamalan  ,  Bruce Willis,  Haley Joel Osment",1999
142,A Beautiful Mind: Genie und Wahnsinn,"Ron Howard  ,  Russell Crowe,  Ed Harris",2001
143,Yojimbo - Der Leibwächter,"Akira Kurosawa  ,  Toshirô Mifune,  Eijirô Tôno",1961
144,Die Ritter der Kokosnuß,"Terry Gilliam  ,  Graham Chapman,  John Cleese",1975
145,Der Schatz der Sierra Madre,"John Huston  ,  Humphrey Bogart,  Walter Huston",1948
146,Shutter Island,"Martin Scorsese  ,  Leonardo DiCaprio,  Emily Mortimer",2010
147,Jurassic Park,"Steven Spielberg  ,  Sam Neill,  Laura Dern",1993
148,Rashomon - Das Lustwäldchen,"Akira Kurosawa  ,  Toshirô Mifune,  Machiko Kyô",1950
149,Gesprengte Ketten,"John Sturges  ,  Steve McQueen,  James Garner",1963
150,Kill Bill - Vol. 1,"Quentin Tarantino  ,  Uma Thurman,  David Carradine",2003
151,No Country for Old Men,"Ethan Coen  ,  Tommy Lee Jones,  Javier Bardem",2007
152,Findet Nemo,"Andrew Stanton  ,  Albert Brooks,  Ellen DeGeneres",2003
153,Der Elefantenmensch,"David Lynch  ,  Anthony Hopkins,  John Hurt",1980
154,Chinatown,"Roman Polanski  ,  Jack Nicholson,  Faye Dunaway",1974
155,Das Ding aus einer anderen Welt,"John Carpenter  ,  Kurt Russell,  Wilford Brimley",1982
156,Wie ein wilder Stier,"Martin Scorsese  ,  Robert De Niro,  Cathy Moriarty",1980
157,Vom Winde verweht,"Victor Fleming  ,  Clark Gable,  Vivien Leigh",1939
158,V wie Vendetta,"James McTeigue  ,  Hugo Weaving,  Natalie Portman",2005
159,Alles steht Kopf,"Pete Docter  ,  Amy Poehler,  Bill Hader",2015
160,Bube Dame König grAS,"Guy Ritchie  ,  Jason Flemyng,  Dexter Fletcher",1998
161,Bei Anruf Mord,"Alfred Hitchcock  ,  Ray Milland,  Grace Kelly",1954
162,In ihren Augen,"Juan José Campanella  ,  Ricardo Darín,  Soledad Villamil",2009
163,Das wandelnde Schloss,"Hayao Miyazaki  ,  Chieko Baishô,  Takuya Kimura",2004
164,Die Brücke am Kwai,"David Lean  ,  William Holden,  Alec Guinness",1957
165,"Three Billboards Outside Ebbing, Missouri","Martin McDonagh  ,  Frances McDormand,  Woody Harrelson",2017
166,Trainspotting - Neue Helden,"Danny Boyle  ,  Ewan McGregor,  Ewen Bremner",1996
167,Warrior,"Gavin O'Connor  ,  Tom Hardy,  Nick Nolte",2011
168,Gran Torino,"Clint Eastwood  ,  Clint Eastwood,  Bee Vang",2008
169,Fargo: Blutiger Schnee,"Joel Coen  ,  William H. Macy,  Frances McDormand",1996
170,Prisoners,"Denis Villeneuve  ,  Hugh Jackman,  Jake Gyllenhaal",2013
171,Mein Nachbar Totoro,"Hayao Miyazaki  ,  Hitoshi Takagi,  Noriko Hidaka",1988
172,Million Dollar Baby,"Clint Eastwood  ,  Hilary Swank,  Clint Eastwood",2004
173,Catch Me If You Can,"Steven Spielberg  ,  Leonardo DiCaprio,  Tom Hanks",2002
174,Goldrausch,"Charles Chaplin  ,  Charles Chaplin,  Mack Swain",1925
175,Kinder des Himmels,"Majid Majidi  ,  Mohammad Amir Naji,  Amir Farrokh Hashemian",1997
176,Der Blade Runner,"Ridley Scott  ,  Harrison Ford,  Rutger Hauer",1982
177,Die Faust im Nacken,"Elia Kazan  ,  Marlon Brando,  Karl Malden",1954
178,12 Years a Slave,"Steve McQueen  ,  Chiwetel Ejiofor,  Michael Kenneth Williams",2013
179,Before Sunrise - Zwischenstopp in Wien,"Richard Linklater  ,  Ethan Hawke,  Julie Delpy",1995
180,Der dritte Mann,"Carol Reed  ,  Orson Welles,  Joseph Cotten",1949
181,Wilde Erdbeeren,"Ingmar Bergman  ,  Victor Sjöström,  Bibi Andersson",1957
182,Harry Potter und die Heiligtümer des Todes - Teil 2,"David Yates  ,  Daniel Radcliffe,  Emma Watson",2011
183,Ben Hur,"William Wyler  ,  Charlton Heston,  Jack Hawkins",1959
184,Gone Girl - Das perfekte Opfer,"David Fincher  ,  Ben Affleck,  Rosamund Pike",2014
185,Der General,"Clyde Bruckman  ,  Buster Keaton,  Marion Mack",1926
186,Die durch die Hölle gehen,"Michael Cimino  ,  Robert De Niro,  Christopher Walken",1978
187,Grand Budapest Hotel,"Wes Anderson  ,  Ralph Fiennes,  F. Murray Abraham",2014
188,Im Namen des Vaters,"Jim Sheridan  ,  Daniel Day-Lewis,  Pete Postlethwaite",1993
189,Barry Lyndon,"Stanley Kubrick  ,  Ryan O'Neal,  Marisa Berenson",1975
190,Lohn der Angst,"Henri-Georges Clouzot  ,  Yves Montand,  Charles Vanel",1953
191,Sherlock Holmes Jr.,"Buster Keaton  ,  Buster Keaton,  Kathryn McGuire",1924
192,Mr. Smith geht nach Washington,"Frank Capra  ,  James Stewart,  Jean Arthur",1939
193,Memories of Murder,"Bong Joon Ho  ,  Song Kang-ho,  Kim Sang-kyung",2003
194,Hacksaw Ridge - Die Entscheidung,"Mel Gibson  ,  Andrew Garfield,  Sam Worthington",2016
195,Klaus,"Sergio Pablos  ,  Jason Schwartzman,  J.K. Simmons",2019
196,Wild Tales: Jeder dreht mal durch!,"Damián Szifron  ,  Darío Grandinetti,  María Marull",2014
197,Das siebente Siegel,"Ingmar Bergman  ,  Max von Sydow,  Gunnar Björnstrand",1957
198,Raum,"Lenny Abrahamson  ,  Brie Larson,  Jacob Tremblay",2015
199,Mad Max: Fury Road,"George Miller  ,  Tom Hardy,  Charlize Theron",2015
200,"Mary & Max, oder - Schrumpfen Schafe, wenn es regnet","Adam Elliot  ,  Toni Collette,  Philip Seymour Hoffman",2009
201,Drachenzähmen leicht gemacht,"Dean DeBlois  ,  Jay Baruchel,  Gerard Butler",2010
202,The Big Lebowski,"Joel Coen  ,  Jeff Bridges,  John Goodman",1998
203,Die Monster AG,"Pete Docter  ,  Billy Crystal,  John Goodman",2001
204,Der weiße Hai,"Steven Spielberg  ,  Roy Scheider,  Robert Shaw",1975
205,Die Reise nach Tokio,"Yasujirô Ozu  ,  Chishû Ryû,  Chieko Higashiyama",1953
206,Die Passion der Jeanne d'Arc,"Carl Theodor Dreyer  ,  Maria Falconetti,  Eugene Silvain",1928
207,Der Club der toten Dichter,"Peter Weir  ,  Robin Williams,  Robert Sean Leonard",1989
208,Hotel Ruanda,"Terry George  ,  Don Cheadle,  Sophie Okonedo",2004
209,Le Mans 66 - Gegen jede Chance,"James Mangold  ,  Matt Damon,  Christian Bale",2019
210,Rocky,"John G. Avildsen  ,  Sylvester Stallone,  Talia Shire",1976
211,Platoon,"Oliver Stone  ,  Charlie Sheen,  Tom Berenger",1986
212,Apus Weg ins Leben - 1.: Auf der Straße,"Satyajit Ray  ,  Kanu Bannerjee,  Karuna Bannerjee",1955
213,Everything Everywhere All at Once,"Dan Kwan  ,  Michelle Yeoh,  Stephanie Hsu",2022
214,Stand by Me: Das Geheimnis eines Sommers,"Rob Reiner  ,  Wil Wheaton,  River Phoenix",1986
215,Terminator,"James Cameron  ,  Arnold Schwarzenegger,  Linda Hamilton",1984
216,Spotlight,"Tom McCarthy  ,  Mark Ruffalo,  Michael Keaton",2015
217,Rush: Alles für den Sieg,"Ron Howard  ,  Daniel Brühl,  Chris Hemsworth",2013
218,Logan: The Wolverine,"James Mangold  ,  Hugh Jackman,  Patrick Stewart",2017
219,Ratatouille,"Brad Bird  ,  Brad Garrett,  Lou Romano",2007
220,Network,"Sidney Lumet  ,  Faye Dunaway,  William Holden",1976
221,Into the Wild,"Sean Penn  ,  Emile Hirsch,  Vince Vaughn",2007
222,Der Zauberer von Oz,"Victor Fleming  ,  Judy Garland,  Frank Morgan",1939
223,Before Sunset,"Richard Linklater  ,  Ethan Hawke,  Julie Delpy",2004
224,Und täglich grüßt das Murmeltier,"Harold Ramis  ,  Bill Murray,  Andie MacDowell",1993
225,Der Exorzist,"William Friedkin  ,  Ellen Burstyn,  Max von Sydow",1973
226,Die besten Jahre unseres Lebens,"William Wyler  ,  Myrna Loy,  Dana Andrews",1946
227,Sein oder Nichtsein,"Ernst Lubitsch  ,  Carole Lombard,  Jack Benny",1942
228,Jai Bhim,"T.J. Gnanavel  ,  Suriya,  Lijo Mol Jose",2021
229,Die Unglaublichen,"Brad Bird  ,  Craig T. Nelson,  Samuel L. Jackson",2004
230,Schlacht um Algier,"Gillo Pontecorvo  ,  Brahim Hadjadj,  Jean Martin",1966
231,Hachiko - Eine wunderbare Freundschaft,"Lasse Hallström  ,  Richard Gere,  Joan Allen",2009
232,Früchte des Zorns,"John Ford  ,  Henry Fonda,  Jane Darwell",1940
233,Rebecca,"Alfred Hitchcock  ,  Laurence Olivier,  Joan Fontaine",1940
234,Amores perros,"Alejandro G. Iñárritu  ,  Emilio Echevarría,  Gael García Bernal",2000
235,Mein Vater und mein Sohn,"Cagan Irmak  ,  Çetin Tekindor,  Fikret Kuskan",2005
236,Fluch der Karibik,"Gore Verbinski  ,  Johnny Depp,  Geoffrey Rush",2003
237,Hass,"Mathieu Kassovitz  ,  Vincent Cassel,  Hubert Koundé",1995
238,Der Unbeugsame,"Stuart Rosenberg  ,  Paul Newman,  George Kennedy",1967
239,Sie küßten und sie schlugen ihn,"François Truffaut  ,  Jean-Pierre Léaud,  Albert Rémy",1959
240,Persona,"Ingmar Bergman  ,  Bibi Andersson,  Liv Ullmann",1966
241,Es geschah in einer Nacht,"Frank Capra  ,  Clark Gable,  Claudette Colbert",1934
242,Die Taschendiebin,"Park Chan-wook  ,  Kim Min-hee,  Ha Jung-woo",2016
243,Das Leben des Brian,"Terry Jones  ,  Graham Chapman,  John Cleese",1979
244,"Meine Lieder, meine Träume","Robert Wise  ,  Julie Andrews,  Christopher Plummer",1965
245,"Uzala, der Kirgise","Akira Kurosawa  ,  Maksim Munzuk,  Yuriy Solomin",1975
246,Gandhi,"Richard Attenborough  ,  Ben Kingsley,  John Gielgud",1982
247,The Help,"Tate Taylor  ,  Viola Davis,  Emma Stone",2011
248,Aladdin,"Ron Clements  ,  Scott Weinger,  Robin Williams",1992
249,Der Gigant aus dem All,"Brad Bird  ,  Eli Marienthal,  Harry Connick Jr.",1999
